,name,A_km2,A_cells,l_m,zoom,country,lat,long,
1,Wigger,367.1490017,34113,103.7435772,9,Switzerland,47.28654638,7.93404089,
2,Sense,419.7462039,38311,104.6722704,9,Switzerland,46.90412746,7.236513547,
3,Toss,426.9109579,40379,102.8231422,9,Switzerland,47.52846262,8.583028031,
4,Emme,445.0065891,41347,103.7435772,9,Switzerland,46.95469014,7.753921279,
5,Fella,451.656561,41162,104.7504573,9,Italy,46.3966107,13.22661856,
6,KleineEmme,461.688848,42897,103.7435803,9,Italy,47.05332118,8.253575743,
7,Chisone,476.0504094,41253,107.4233528,9,Italy,44.95289911,7.193817035,
8,Ardeche,478.0581727,41456,107.3857552,9,France,44.62699325,4.394486774,
9,Pigg,534.2860739,36355,121.2285338,9,USA,36.92667671,-79.61239861,
10,GooseCreek,552.386365,37578,121.2424333,9,USA,37.15747676,-79.47602493,
11,Ararat,563.8907814,37811,122.1204555,9,USA,36.42398192,-80.56982276,
12,Carmel,593.2790604,39774,122.1321143,9,USA,36.52305093,-121.8171978,
13,Tanaro,1601.820746,33817,217.6403513,8,Italy,44.5780968,7.909598156,
14,Magra,1682.676765,35524,217.6403513,8,Italy,44.06387912,9.973121665,
15,Hinterrhein,1690.063921,38232,210.2509935,8,Switzerland,46.80828259,9.412934092,
16,Thur,1733.385719,40624,206.5647755,8,Switzerland,47.59709053,8.68189986,
17,Var,1841.348336,40274,213.8235787,8,France,43.90061037,7.188240385,
18,Rhone,1850.299515,41846,210.278099,8,Switzerland,46.308703,7.827632055,
19,Arc,1874.632684,42479,210.0733447,8,France,45.48830382,6.295638562,
20,Ticino,1876.387473,42436,210.278099,8,Switzerland,46.16383105,8.89518776,
21,Adda,1925.017447,43572,210.1907441,8,Italy,46.16219969,9.84047307,
22,Piave,1929.39531,43616,210.3234477,8,Italy,46.17265146,12.28352335,
23,DoraBaltea,1961.576025,42867,213.9148956,8,Italy,45.73786207,7.453772748,
24,Applegate,1985.815557,39200,225.0745657,8,USA,42.39723797,-123.4570604,
25,Rivanna,1988.458355,34578,239.8050447,8,USA,37.76389972,-78.18496046,
26,FrenchBroad,2073.532667,34014,246.9031253,8,USA,35.5654141,-82.5833704,
27,SantaYnez,2141.219631,34093,250.6097706,8,USA,34.66826814,-120.4578087,
28,Yadkin,2155.525418,35359,246.9031253,8,USA,36.23928814,-80.84975726,
29,Danube,5245.03225,33707,394.4700462,7,Germany,48.36125922,9.962855488,
30,Lillooet,5694.156858,39469,379.8277158,7,Canada,49.8055843,-122.2287205,
31,Salzach,6238.970649,37253,409.2378978,7,Austria,47.93972189,12.93863557,
32,Sava,6266.672559,34840,424.1108941,7,Slovenia,45.90547135,15.57538896,
33,Rogue,6472.037208,33580,439.0158062,7,USA,42.43377682,-123.3525715,
34,Inn,6567.866742,39214,409.2527384,7,Austria,47.26853064,11.44602469,
35,Durance,6734.730435,37483,423.8800112,7,France,44.10882949,6.007341155,
36,Adige,6801.344741,40608,409.2527384,7,Italy,46.47656603,11.31435568,
37,Boise,7232.91156,37530,439.002805,7,USA,43.661357,-116.2791958,
38,Trinity,7663.398861,37201,453.8720173,7,USA,41.17459387,-123.7050914,
39,New,7787.784188,33363,483.14157,7,USA,37.31400334,-80.64365526,
40,Eel,7887.526652,38289,453.8720173,7,USA,40.45314096,-124.0187222,
41,James,8406.801376,38282,468.6170479,7,USA,37.4999327,-79.29489547,
42,Salinas,8505.793626,36441,483.1280773,7,USA,36.12801116,-121.0318833,
43,Frances,12329.49107,39623,557.8261866,6,Canada,60.85367208,-129.0854007,
44,Thompson,19327.19774,37627,716.6954517,6,Canada,50.75150894,-120.3451663,
45,Willamette,22386.28811,32216,833.5952593,6,USA,45.21648703,-123.0191039,
46,Marias,23165.53065,38637,774.3181292,6,USA,47.93204278,-110.5080309,
47,Flathead,23476.70674,39156,774.3181292,6,USA,47.31333546,-114.7048914,
48,Klamath,30551.71636,38293,893.2193256,6,USA,41.34860382,-123.5047449,
49,Owyhee,30757.20958,38560,893.1100026,6,USA,42.90111597,-117.6988698,
50,Stikine,57949.1558,36041,1268.017188,5,Canada,56.693446,-132.206884,
